RIR,Country Code,ASN Number,Allocated Date
lacnic,BR,AS11390,20130401
lacnic,AR,AS11392,19980803
lacnic,AR,AS11411,19980814
lacnic,BR,AS11415,19991116
lacnic,BR,AS11419,19991117
lacnic,BR,AS11431,20190812
lacnic,BR,AS11432,19991117
lacnic,,AS11447,
lacnic,,AS11450,
lacnic,AR,AS11451,19980827
lacnic,,AS11497,
lacnic,AR,AS11498,19980911
lacnic,,AS11503,
lacnic,AR,AS11514,19980915
lacnic,MX,AS11519,19980916
lacnic,PA,AS11556,19981002
lacnic,VE,AS11562,19981006
lacnic,AR,AS11571,19981008
lacnic,CO,AS11581,19981012
lacnic,BO,AS11585,19981014
lacnic,BR,AS11592,20130401
lacnic,AR,AS11599,19981016
lacnic,MX,AS11617,19981026
lacnic,AR,AS11642,19981030
lacnic,BR,AS11644,19991118
lacnic,AR,AS11664,19981109
lacnic,PA,AS11673,19981110
lacnic,MX,AS11677,19981111
lacnic,VE,AS11694,19981118
lacnic,BR,AS11706,19991112
lacnic,AR,AS11750,19981207
lacnic,BR,AS11751,20000215
lacnic,BR,AS11752,19991118
lacnic,AR,AS11786,19981218
lacnic,,AS11800,
lacnic,BR,AS11801,20130401
lacnic,BR,AS11802,19991118
lacnic,AR,AS11815,19981230
lacnic,AW,AS11816,19981231
lacnic,CR,AS11830,19990106
lacnic,BR,AS11835,19991118
lacnic,BR,AS11844,20000612
lacnic,MX,AS11888,19990128
lacnic,BR,AS11896,19991118
lacnic,BR,AS11921,19991118
lacnic,TT,AS11947,19990210
lacnic,CU,AS11960,19990212
lacnic,BR,AS11993,20070213
lacnic,,AS12034,
lacnic,DO,AS12066,19990315
lacnic,SV,AS12127,19990330
lacnic,,AS12135,
lacnic,BR,AS12136,19991118
lacnic,BR,AS12140,19991117
lacnic,MX,AS12146,19990406
lacnic,AR,AS12150,19990406
lacnic,VE,AS12248,19990503
lacnic,PE,AS12252,20001117
lacnic,AR,AS12264,19990505
lacnic,AR,AS13316,19990414
lacnic,AR,AS13318,19990414
lacnic,,AS13320,
lacnic,,AS13353,
lacnic,BR,AS13357,19991118
lacnic,CL,AS13381,19990525
lacnic,CL,AS13424,19990602
lacnic,MX,AS13440,19990608
lacnic,BR,AS13459,20000413
lacnic,AR,AS13474,19990616
lacnic,CO,AS13489,19990618
lacnic,BR,AS13495,19991118
lacnic,AR,AS13514,19990625
lacnic,BO,AS13521,19990628
lacnic,BR,AS13522,20000804
lacnic,,AS13544,
lacnic,MX,AS13579,19990708
lacnic,BR,AS13584,20130401
lacnic,AR,AS13585,19990711
lacnic,MX,AS13591,20010103
lacnic,CL,AS13643,19990721
lacnic,MX,AS13679,19990727
lacnic,GT,AS13682,19990727
lacnic,BR,AS13761,19991118
lacnic,CL,AS13774,19990816
lacnic,AR,AS13835,19990825
lacnic,BR,AS13874,20130716
lacnic,BR,AS13878,20000930
lacnic,BR,AS13914,19991118
lacnic,AR,AS13929,19990917
lacnic,AR,AS13934,19990917
lacnic,,AS13935,
lacnic,AR,AS13936,19990920
lacnic,CW,AS13991,19990929
lacnic,MX,AS13999,19991001
lacnic,MX,AS14000,19991001
lacnic,BR,AS14026,20080904
lacnic,BR,AS14030,20130401
lacnic,AR,AS14069,19991014
lacnic,CO,AS14080,19991015
lacnic,CO,AS14084,19991018
lacnic,,AS14087,
lacnic,SV,AS14111,19991020
lacnic,CL,AS14117,19991022
lacnic,MX,AS14122,19991025
lacnic,MX,AS14178,19991102
lacnic,CW,AS14179,19991103
lacnic,,AS14186,
lacnic,CO,AS14187,19991104
lacnic,,AS14202,
lacnic,BR,AS14204,19991118
lacnic,VE,AS14231,19991111
lacnic,AR,AS14232,19991115
lacnic,UY,AS14234,19991115
lacnic,MX,AS14249,19991116
lacnic,,AS14250,
lacnic,CL,AS14259,20010516
lacnic,BR,AS14282,20000322
lacnic,VE,AS14285,19991122
lacnic,AR,AS14286,19991122
lacnic,CW,AS14316,19991124
lacnic,CL,AS14318,19991124
lacnic,AR,AS14339,19991130
lacnic,BR,AS14346,20000218
lacnic,PA,AS14377,19991205
lacnic,EC,AS14420,19991209
lacnic,BR,AS14457,20130422
lacnic,BR,AS14463,20000126
lacnic,EC,AS14522,19991228
lacnic,AR,AS14535,19991230
lacnic,BR,AS14553,20130322
lacnic,CL,AS14560,20000105
lacnic,BR,AS14571,20000113
lacnic,BR,AS14624,20130401
lacnic,BR,AS14650,20000223
lacnic,CO,AS14664,20010226
lacnic,AR,AS14674,20000126
lacnic,,AS14692,
lacnic,CL,AS14708,20000128
lacnic,PA,AS14709,20000128
lacnic,BR,AS14723,20010702
lacnic,GT,AS14754,20000203
lacnic,CO,AS14759,20000203
lacnic,AR,AS14769,20000204
lacnic,CL,AS14795,20000208
lacnic,BR,AS14840,20090721
lacnic,AR,AS14845,20000215
lacnic,CO,AS14867,20000216
lacnic,BR,AS14868,20000322
lacnic,BR,AS14886,20000224
lacnic,CL,AS14966,20000301
lacnic,CO,AS14970,20000301
lacnic,,AS15030,
lacnic,AR,AS15034,20000310
lacnic,AR,AS15064,20000314
lacnic,CO,AS15066,20000314
lacnic,PA,AS15075,20000315
lacnic,AR,AS15078,20000316
lacnic,MX,AS15107,20000322
lacnic,PE,AS15125,20000322
lacnic,CU,AS15151,20000327
lacnic,BR,AS15180,20000530
lacnic,BR,AS15201,20000403
lacnic,CL,AS15208,20000404
