RIR,Country Code,ASN Number,Allocated Date
afrinic,SS,AS36892,20150713
afrinic,ZZ,AS36893,
afrinic,MU,AS36894,20060313
afrinic,ZZ,AS36895,
afrinic,ZZ,AS36896,
afrinic,ZZ,AS36897,
afrinic,ZA,AS36898,20120810
afrinic,ZZ,AS36899,
afrinic,ZZ,AS36900,
afrinic,UG,AS36901,20060428
afrinic,SC,AS36902,20060504
afrinic,MA,AS36903,20060523
afrinic,KE,AS36904,20121005
afrinic,CM,AS36905,20060601
afrinic,EG,AS36906,20060607
afrinic,AO,AS36907,20060609
afrinic,TZ,AS36908,20060801
afrinic,TZ,AS36909,20060801
afrinic,ZA,AS36910,20141110
afrinic,NG,AS36911,20060804
afrinic,CM,AS36912,20060808
afrinic,MW,AS36913,20151029
afrinic,KE,AS36914,20060915
afrinic,KE,AS36915,20080312
afrinic,ZA,AS36916,20060928
afrinic,AO,AS36917,20061012
afrinic,ZZ,AS36918,
afrinic,ZZ,AS36919,
afrinic,NG,AS36920,20061031
afrinic,NG,AS36921,20061107
afrinic,NG,AS36922,20061115
afrinic,NG,AS36923,20061115
afrinic,CI,AS36924,20160620
afrinic,MA,AS36925,20061128
afrinic,KE,AS36926,20061204
afrinic,ZZ,AS36927,
afrinic,ZZ,AS36928,
afrinic,EG,AS36929,20061213
afrinic,TZ,AS36930,20061218
afrinic,ZZ,AS36931,
afrinic,NG,AS36932,20070116
afrinic,NG,AS36933,20070122
afrinic,RW,AS36934,20190226
afrinic,EG,AS36935,20070202
afrinic,AO,AS36936,20121217
afrinic,ZA,AS36937,20070222
afrinic,NG,AS36938,20120612
afrinic,KM,AS36939,20070319
afrinic,NG,AS36940,20160816
afrinic,MA,AS36941,20070327
afrinic,MU,AS36942,20150202
afrinic,ZA,AS36943,20180924
afrinic,MW,AS36944,20070420
afrinic,MZ,AS36945,20070423
afrinic,CI,AS36946,20070424
afrinic,DZ,AS36947,20070427
afrinic,KE,AS36948,20070427
afrinic,ZZ,AS36949,
afrinic,ZZ,AS36950,
afrinic,ZA,AS36951,20070518
afrinic,ZZ,AS36952,
afrinic,ZA,AS36953,20070521
afrinic,ZZ,AS36954,
afrinic,CM,AS36955,20201029
afrinic,MA,AS36956,20070606
afrinic,NG,AS36957,20070626
afrinic,SC,AS36958,20070628
afrinic,ZM,AS36959,20070702
afrinic,ZA,AS36960,20070710
afrinic,ZZ,AS36961,
afrinic,ZM,AS36962,20070716
afrinic,BW,AS36963,20070717
afrinic,ZZ,AS36964,
afrinic,TZ,AS36965,20070719
afrinic,ZZ,AS36966,
afrinic,KE,AS36967,20070806
afrinic,ZA,AS36968,20070809
afrinic,MW,AS36969,20070810
afrinic,NG,AS36970,20070822
afrinic,EG,AS36971,20070824
afrinic,SD,AS36972,20090113
afrinic,ZZ,AS36973,
afrinic,CI,AS36974,20141006
afrinic,KE,AS36975,20210520
afrinic,AO,AS36976,20070918
afrinic,UG,AS36977,20140213
afrinic,EG,AS36978,20070925
afrinic,ZZ,AS36979,
afrinic,ZA,AS36980,20071004
afrinic,ZZ,AS36981,
afrinic,ZA,AS36982,20071017
afrinic,ZA,AS36983,20071023
afrinic,ZZ,AS36984,
afrinic,ZA,AS36985,20071105
afrinic,ZW,AS36986,20071106
afrinic,KE,AS36987,20071116
afrinic,SL,AS36988,20090123
afrinic,ZZ,AS36989,
afrinic,EG,AS36990,20110204
afrinic,UG,AS36991,20071204
afrinic,EG,AS36992,20071210
afrinic,NG,AS36993,20071210
afrinic,ZA,AS36994,20071213
afrinic,CI,AS36995,20071217
afrinic,NA,AS36996,20071220
afrinic,UG,AS36997,20071228
afrinic,SD,AS36998,20071228
afrinic,NA,AS36999,20080108
afrinic,ZZ,AS37000,
afrinic,NG,AS37001,20080109
afrinic,RE,AS37002,20080115
afrinic,EG,AS37003,20080116
afrinic,NG,AS37004,20161115
afrinic,NG,AS37005,20080206
afrinic,RW,AS37006,20080215
afrinic,ZA,AS37007,20080219
afrinic,BF,AS37008,20080304
afrinic,NA,AS37009,20080313
afrinic,RW,AS37010,20230901
afrinic,AO,AS37011,20080314
afrinic,GH,AS37012,20080318
afrinic,TZ,AS37013,20080318
afrinic,BW,AS37014,20080401
afrinic,ZZ,AS37015,
afrinic,ZA,AS37016,20080401
afrinic,ZA,AS37017,20180918
afrinic,NG,AS37018,20080418
afrinic,KE,AS37019,20080514
afrinic,CD,AS37020,20080523
afrinic,ZZ,AS37021,
afrinic,ZZ,AS37022,
afrinic,ZZ,AS37023,
afrinic,ZW,AS37024,20120307
afrinic,NG,AS37025,20080708
afrinic,NA,AS37026,20080708
afrinic,TZ,AS37027,20080710
afrinic,ZA,AS37028,20080716
afrinic,ZZ,AS37029,
afrinic,GH,AS37030,20080722
afrinic,EG,AS37031,20080722
afrinic,GH,AS37032,20080724
afrinic,ZZ,AS37033,
afrinic,ZZ,AS37034,
afrinic,TZ,AS37035,20080801
afrinic,AO,AS37036,20080801
afrinic,MG,AS37037,20080804
afrinic,NE,AS37038,20200901
afrinic,ZZ,AS37039,
afrinic,ZZ,AS37040,
afrinic,ZZ,AS37041,
afrinic,MZ,AS37042,20080812
afrinic,ZZ,AS37043,
afrinic,KE,AS37044,20080813
afrinic,TZ,AS37045,20080818
afrinic,MU,AS37046,20080821
afrinic,ZZ,AS37047,
afrinic,ZZ,AS37048,
afrinic,ZA,AS37049,20080821
afrinic,ZZ,AS37050,
afrinic,BW,AS37051,20080905
afrinic,KE,AS37052,20080917
afrinic,ZA,AS37053,20080917
afrinic,MG,AS37054,20190208
afrinic,ZA,AS37055,20080923
afrinic,NG,AS37056,20080925
afrinic,LS,AS37057,20080925
afrinic,NG,AS37058,20080929
afrinic,AO,AS37059,20080929
afrinic,ZA,AS37060,20080930
afrinic,KE,AS37061,20081017
afrinic,AO,AS37062,20081021
afrinic,UG,AS37063,20081023
afrinic,MZ,AS37064,20081028
afrinic,ZZ,AS37065,
afrinic,EG,AS37066,20081111
afrinic,GN,AS37067,20161202
afrinic,ZZ,AS37068,
afrinic,EG,AS37069,20081112
afrinic,ZA,AS37070,20081112
afrinic,ZZ,AS37071,
afrinic,ZA,AS37072,20100210
afrinic,BF,AS37073,20081114
afrinic,GH,AS37074,20081121
afrinic,UG,AS37075,20081125
afrinic,NG,AS37076,20140814
afrinic,NG,AS37077,20081201
afrinic,ZA,AS37078,20081218
afrinic,ZA,AS37079,20081220
afrinic,ZZ,AS37080,
afrinic,AO,AS37081,20081230
afrinic,ZZ,AS37082,
afrinic,ZZ,AS37083,
afrinic,TZ,AS37084,20090121
afrinic,TZ,AS37085,20090127
afrinic,ZZ,AS37086,
afrinic,GH,AS37087,20090211
afrinic,NG,AS37088,20090219
afrinic,CM,AS37089,20090220
afrinic,BJ,AS37090,20090302
afrinic,EG,AS37091,20171229
afrinic,ZZ,AS37092,
afrinic,ZZ,AS37093,
afrinic,LR,AS37094,20180821
afrinic,ZZ,AS37095,
afrinic,MU,AS37096,20090421
afrinic,ZZ,AS37097,
afrinic,MW,AS37098,20090506
afrinic,ZZ,AS37099,
afrinic,MU,AS37100,20090528
afrinic,ZZ,AS37101,
afrinic,CD,AS37102,20090602
afrinic,ZZ,AS37103,
afrinic,NG,AS37104,20090611
afrinic,ZA,AS37105,20090615
afrinic,NG,AS37106,20090618
afrinic,TN,AS37107,20090622
afrinic,ML,AS37108,20090623
afrinic,KE,AS37109,20090626
afrinic,MZ,AS37110,20090626
afrinic,ZZ,AS37111,
afrinic,EG,AS37112,20090706
afrinic,UG,AS37113,20090707
afrinic,ZA,AS37114,20090709
afrinic,ZZ,AS37115,
afrinic,ZA,AS37116,20090717
afrinic,SL,AS37117,20090717
afrinic,ZA,AS37118,20090721
afrinic,AO,AS37119,20090727
afrinic,ZZ,AS37120,
afrinic,ZA,AS37121,20151209
afrinic,UG,AS37122,20090729
afrinic,ZW,AS37123,20090731
afrinic,RW,AS37124,20090805
afrinic,NG,AS37125,20090806
afrinic,TZ,AS37126,20090813
afrinic,NG,AS37127,20090814
afrinic,ZZ,AS37128,
afrinic,KE,AS37129,20090819
afrinic,ZA,AS37130,20090821
afrinic,ZZ,AS37131,
afrinic,ZZ,AS37132,
afrinic,TZ,AS37133,20090825
afrinic,ZZ,AS37134,
afrinic,ZZ,AS37135,
