RIR,Country Code,ASN Number,Allocated Date
apnic,HK,AS4849,19960219
apnic,MN,AS4850,20060418
apnic,AU,AS4851,20050111
apnic,AU,AS4852,19960731
apnic,AU,AS4853,20050909
apnic,AU,AS4854,19960814
apnic,ID,AS4855,19961203
apnic,TH,AS4856,19961204
apnic,AU,AS4857,20091110
apnic,AU,AS4858,20070322
apnic,CN,AS4859,19961219
apnic,AU,AS4860,19961206
apnic,KR,AS4861,19961206
apnic,HK,AS4862,19961206
apnic,PH,AS4863,19950707
apnic,BD,AS4864,20160413
apnic,KI,AS4865,20160415
apnic,HK,AS4899,20090924
apnic,KR,AS4961,20020801
apnic,HK,AS5017,20100720
apnic,KR,AS5051,20020801
apnic,HK,AS5085,20020801
apnic,LK,AS5087,20020801
apnic,NZ,AS5709,20020801
apnic,KR,AS6068,20020801
apnic,PH,AS6163,20160718
apnic,AU,AS6262,20020801
apnic,KR,AS6619,20020801
apnic,PH,AS6648,20020801
apnic,MP,AS7131,20020801
apnic,AU,AS7175,20020801
apnic,SG,AS7387,19961127
apnic,AU,AS7467,20020923
apnic,HK,AS7468,19970106
apnic,AU,AS7469,19970106
apnic,TH,AS7470,19970107
apnic,AU,AS7471,20040123
apnic,SG,AS7472,19970120
apnic,SG,AS7473,19970122
apnic,AU,AS7474,19970203
apnic,AU,AS7475,19970211
apnic,AU,AS7477,19970211
apnic,TW,AS7478,19970212
apnic,HK,AS7479,19970220
apnic,TW,AS7481,19970217
apnic,HK,AS7484,19970225
apnic,TH,AS7485,19970226
apnic,AU,AS7486,19970227
apnic,IN,AS7487,20070504
apnic,US,AS7488,20230728
apnic,HK,AS7489,20151223
apnic,AU,AS7490,20160715
apnic,PH,AS7491,19970312
apnic,AU,AS7492,20181224
apnic,HK,AS7493,19970318
apnic,IN,AS7494,20230921
apnic,PH,AS7495,19970324
apnic,AU,AS7496,19970325
apnic,CN,AS7497,19970408
apnic,AU,AS7498,19970410
apnic,HK,AS7499,19970411
apnic,JP,AS7500,19970303
apnic,TW,AS7532,19970322
apnic,HK,AS7540,19970414
apnic,TW,AS7541,19970417
apnic,AU,AS7542,19970422
apnic,JP,AS7543,19970422
apnic,PH,AS7544,20090813
apnic,AU,AS7545,19970425
apnic,AU,AS7546,20070727
apnic,CN,AS7547,19970502
apnic,CN,AS7549,19970506
apnic,AU,AS7550,20021004
apnic,AU,AS7551,20090402
apnic,VN,AS7552,20021008
apnic,AU,AS7553,20021008
apnic,AU,AS7554,20021009
apnic,AU,AS7555,19970509
apnic,AU,AS7556,19970509
apnic,KR,AS7557,19970513
apnic,BD,AS7565,20080501
apnic,AU,AS7566,20161018
apnic,AU,AS7567,19970521
apnic,TH,AS7568,19970523
apnic,AU,AS7569,19970528
apnic,CN,AS7576,19970529
apnic,HK,AS7577,19970604
apnic,AU,AS7578,20070810
apnic,AU,AS7579,19970604
apnic,HK,AS7581,19970609
apnic,MO,AS7582,20050411
apnic,AU,AS7583,20070802
apnic,NZ,AS7584,20060922
apnic,AU,AS7585,20050616
apnic,CN,AS7586,20211128
apnic,ID,AS7587,19970701
apnic,TH,AS7588,19970701
apnic,SE,AS7589,19970701
apnic,PK,AS7590,19970701
apnic,AU,AS7591,19970708
apnic,IN,AS7593,20160721
apnic,AU,AS7594,20061129
apnic,SG,AS7595,20070803
apnic,TH,AS7596,19970716
apnic,ID,AS7597,19970717
